symbol,trades,wins,losses,win_rate_pct,total_pnl_usd,avg_pnl_pct,profit_factor,expectancy_pct,decision,rule_reason
KAVA/USDT,5,4,1,80.0,2.512423,0.317034,2.91029,0.317034,MANTENER,"PF>=1.2, expectancy>0, WR>=50"
CFG/USDT,6,4,2,66.67,0.240724,0.136634,13.68504,0.136634,MANTENER,"PF>=1.2, expectancy>0, WR>=50"
KAT/USDT,7,5,2,71.43,0.118223,0.140985,3.462979,0.140985,MANTENER,"PF>=1.2, expectancy>0, WR>=50"
OPN/USDT,5,3,2,60.0,0.054063,0.090242,8.276312,0.090242,MANTENER,"PF>=1.2, expectancy>0, WR>=50"
LDO/USDT,4,2,2,50.0,0.043016,0.090837,4.521572,0.090837,MANTENER,"PF>=1.2, expectancy>0, WR>=50"
BSV/USDT,3,2,1,66.67,0.021412,0.059221,1.471869,0.059221,MANTENER,"PF>=1.2, expectancy>0, WR>=50"
RENDER/USDT,3,2,1,66.67,0.016891,0.047247,2.691399,0.047247,MANTENER,"PF>=1.2, expectancy>0, WR>=50"
TWT/USDT,3,2,1,66.67,0.014465,0.040212,1.530222,0.040212,MANTENER,"PF>=1.2, expectancy>0, WR>=50"
APT/USDT,3,2,1,66.67,0.012722,0.035316,1.411303,0.035316,MANTENER,"PF>=1.2, expectancy>0, WR>=50"
AXS/USDT,9,5,4,55.56,0.02129,0.051089,1.026731,0.051089,REDUCIR,"PF>=0.9, expectancy>=0, WR>=45"
TAG/USDT,4,3,1,75.0,0.02002,0.040877,1.165959,0.040877,REDUCIR,"PF>=0.9, expectancy>=0, WR>=45"
ZBT/USDT,3,2,1,66.67,0.015249,0.042516,1.110812,0.042516,REDUCIR,"PF>=0.9, expectancy>=0, WR>=45"
SAHARA/USDT,8,5,3,62.5,0.007518,0.007981,1.084492,0.007981,REDUCIR,"PF>=0.9, expectancy>=0, WR>=45"
TAKE/USDT,2,2,0,100.0,0.690272,0.966574,0,0.966574,OBSERVAR,Muestra insuficiente (<3)
NIGHT/USDT,2,2,0,100.0,0.165862,0.240413,0,0.240413,OBSERVAR,Muestra insuficiente (<3)
ETC/USDT,2,1,1,50.0,0.119514,0.497626,3.68231,0.497626,OBSERVAR,Muestra insuficiente (<3)
SKY/USDT,2,2,0,100.0,0.094636,0.39445,0,0.39445,OBSERVAR,Muestra insuficiente (<3)
TRUMP/USDT,1,1,0,100.0,0.080742,0.673076,0,0.673076,OBSERVAR,Muestra insuficiente (<3)
LAB/USDT,1,1,0,100.0,0.06684,0.556637,0,0.556637,OBSERVAR,Muestra insuficiente (<3)
DRIFT/USDT,2,2,0,100.0,0.058156,0.242191,0,0.242191,OBSERVAR,Muestra insuficiente (<3)
RED/USDT,1,1,0,100.0,0.057867,0.480433,0,0.480433,OBSERVAR,Muestra insuficiente (<3)
EDGE/USDT,2,2,0,100.0,0.056205,0.233179,0,0.233179,OBSERVAR,Muestra insuficiente (<3)
DASH/USDT,2,2,0,100.0,0.050147,0.208905,0,0.208905,OBSERVAR,Muestra insuficiente (<3)
BLUAI/USDT,1,1,0,100.0,0.048534,0.406271,0,0.406271,OBSERVAR,Muestra insuficiente (<3)
PHA/USDT,1,1,0,100.0,0.0455,0.38021,0,0.38021,OBSERVAR,Muestra insuficiente (<3)
CLO/USDT,1,1,0,100.0,0.044368,0.369163,0,0.369163,OBSERVAR,Muestra insuficiente (<3)
DEXE/USDT,1,1,0,100.0,0.043706,0.364179,0,0.364179,OBSERVAR,Muestra insuficiente (<3)
BLUR/USDT,2,2,0,100.0,0.036629,0.152635,0,0.152635,OBSERVAR,Muestra insuficiente (<3)
MAGMA/USDT,2,1,1,50.0,0.03233,0.144953,1.263619,0.144953,OBSERVAR,Muestra insuficiente (<3)
VVV/USDT,1,1,0,100.0,0.028403,0.236626,0,0.236626,OBSERVAR,Muestra insuficiente (<3)
SAND/USDT,1,1,0,100.0,0.027491,0.229211,0,0.229211,OBSERVAR,Muestra insuficiente (<3)
AIA/USDT,2,1,1,50.0,0.02705,0.11087,2.127083,0.11087,OBSERVAR,Muestra insuficiente (<3)
APR/USDT,1,1,0,100.0,0.026183,0.218247,0,0.218247,OBSERVAR,Muestra insuficiente (<3)
CETUS/USDT,1,1,0,100.0,0.023596,0.196829,0,0.196829,OBSERVAR,Muestra insuficiente (<3)
RIVER/USDT,1,1,0,100.0,0.022474,0.18725,0,0.18725,OBSERVAR,Muestra insuficiente (<3)
FF/USDT,1,1,0,100.0,0.021004,0.044993,0,0.044993,OBSERVAR,Muestra insuficiente (<3)
BANK/USDT,1,1,0,100.0,0.020815,0.173624,0,0.173624,OBSERVAR,Muestra insuficiente (<3)
AIXBT/USDT,2,1,1,50.0,0.019556,0.081408,1.814833,0.081408,OBSERVAR,Muestra insuficiente (<3)
PROMPT/USDT,1,1,0,100.0,0.013889,0.115375,0,0.115375,OBSERVAR,Muestra insuficiente (<3)
XLM/USDT,2,1,1,50.0,0.013655,0.056894,122.919643,0.056894,OBSERVAR,Muestra insuficiente (<3)
1000BONK/USDT,1,1,0,100.0,0.010756,0.015017,0,0.015017,OBSERVAR,Muestra insuficiente (<3)
THE/USDT,1,0,1,0.0,-0.001735,-0.014458,0.0,-0.014458,OBSERVAR,Muestra insuficiente (<3)
FOLKS/USDT,2,1,1,50.0,-0.003037,0.128197,0.94746,0.128197,OBSERVAR,Muestra insuficiente (<3)
1000PEPE/USDT,1,0,1,0.0,-0.003524,-0.029416,0.0,-0.029416,OBSERVAR,Muestra insuficiente (<3)
BNB/USDT,1,0,1,0.0,-0.007027,-0.114061,0.0,-0.114061,OBSERVAR,Muestra insuficiente (<3)
FHE/USDT,1,0,1,0.0,-0.011301,-0.094174,0.0,-0.094174,OBSERVAR,Muestra insuficiente (<3)
AAVE/USDT,1,0,1,0.0,-0.012607,-0.128643,0.0,-0.128643,OBSERVAR,Muestra insuficiente (<3)
ONG/USDT,2,1,1,50.0,-0.014495,-0.06022,0.682767,-0.06022,OBSERVAR,Muestra insuficiente (<3)
XAUT/USDT,2,0,2,0.0,-0.016077,-0.086622,0.0,-0.086622,OBSERVAR,Muestra insuficiente (<3)
IP/USDT,1,0,1,0.0,-0.016771,-0.139843,0.0,-0.139843,OBSERVAR,Muestra insuficiente (<3)
OPEN/USDT,1,0,1,0.0,-0.01736,-0.144746,0.0,-0.144746,OBSERVAR,Muestra insuficiente (<3)
VIRTUAL/USDT,1,0,1,0.0,-0.020231,-0.168542,0.0,-0.168542,OBSERVAR,Muestra insuficiente (<3)
TREE/USDT,1,0,1,0.0,-0.022035,-0.183652,0.0,-0.183652,OBSERVAR,Muestra insuficiente (<3)
BTC/USDT,1,0,1,0.0,-0.02205,-0.183748,0.0,-0.183748,OBSERVAR,Muestra insuficiente (<3)
INJ/USDT,2,1,1,50.0,-0.022091,-0.092037,0.402758,-0.092037,OBSERVAR,Muestra insuficiente (<3)
SNX/USDT,1,0,1,0.0,-0.024,-0.2,0.0,-0.2,OBSERVAR,Muestra insuficiente (<3)
ARB/USDT,2,0,2,0.0,-0.025896,-0.108,0.0,-0.108,OBSERVAR,Muestra insuficiente (<3)
TSLA/USDT,1,0,1,0.0,-0.027161,-0.226399,0.0,-0.226399,OBSERVAR,Muestra insuficiente (<3)
AMZN/USDT,1,0,1,0.0,-0.027481,-0.229072,0.0,-0.229072,OBSERVAR,Muestra insuficiente (<3)
ICP/USDT,1,0,1,0.0,-0.027545,-0.24441,0.0,-0.24441,OBSERVAR,Muestra insuficiente (<3)
KAITO/USDT,2,1,1,50.0,-0.027709,-0.117002,0.474023,-0.117002,OBSERVAR,Muestra insuficiente (<3)
WLD/USDT,1,0,1,0.0,-0.028362,-0.236261,0.0,-0.236261,OBSERVAR,Muestra insuficiente (<3)
AEVO/USDT,1,0,1,0.0,-0.029297,-0.244253,0.0,-0.244253,OBSERVAR,Muestra insuficiente (<3)
ENJ/USDT,1,0,1,0.0,-0.029788,-0.248401,0.0,-0.248401,OBSERVAR,Muestra insuficiente (<3)
2Z/USDT,1,0,1,0.0,-0.031547,-0.26394,0.0,-0.26394,OBSERVAR,Muestra insuficiente (<3)
LINK/USDT,2,1,1,50.0,-0.031953,-0.133756,0.263314,-0.133756,OBSERVAR,Muestra insuficiente (<3)
SOL/USDT,1,0,1,0.0,-0.033134,-0.283879,0.0,-0.283879,OBSERVAR,Muestra insuficiente (<3)
WLFI/USDT,1,0,1,0.0,-0.036579,-0.305147,0.0,-0.305147,OBSERVAR,Muestra insuficiente (<3)
ZRO/USDT,2,0,2,0.0,-0.041004,-0.170878,0.0,-0.170878,OBSERVAR,Muestra insuficiente (<3)
PLTR/USDT,1,0,1,0.0,-0.04505,-0.375417,0.0,-0.375417,OBSERVAR,Muestra insuficiente (<3)
HBAR/USDT,1,0,1,0.0,-0.047367,-0.397865,0.0,-0.397865,OBSERVAR,Muestra insuficiente (<3)
QTUM/USDT,1,0,1,0.0,-0.048921,-0.406832,0.0,-0.406832,OBSERVAR,Muestra insuficiente (<3)
INTC/USDT,2,0,2,0.0,-0.049927,-0.208011,0.0,-0.208011,OBSERVAR,Muestra insuficiente (<3)
ZEN/USDT,2,1,1,50.0,-0.064583,-0.269275,0.490429,-0.269275,OBSERVAR,Muestra insuficiente (<3)
HYPE/USDT,2,0,2,0.0,-0.071244,-0.29651,0.0,-0.29651,OBSERVAR,Muestra insuficiente (<3)
AVAX/USDT,2,0,2,0.0,-0.072499,-0.374376,0.0,-0.374376,OBSERVAR,Muestra insuficiente (<3)
BSB/USDT,2,1,1,50.0,-0.073264,-0.2964,0.405326,-0.2964,OBSERVAR,Muestra insuficiente (<3)
DOGE/USDT,1,0,1,0.0,-0.074156,-0.620654,0.0,-0.620654,OBSERVAR,Muestra insuficiente (<3)
ME/USDT,1,0,1,0.0,-0.081086,-0.675714,0.0,-0.675714,OBSERVAR,Muestra insuficiente (<3)
FIL/USDT,1,0,1,0.0,-0.081896,-0.687105,0.0,-0.687105,OBSERVAR,Muestra insuficiente (<3)
SYN/USDT,2,1,1,50.0,-0.085617,-0.361732,0.280874,-0.361732,OBSERVAR,Muestra insuficiente (<3)
MERL/USDT,1,0,1,0.0,-0.099399,-0.823158,0.0,-0.823158,OBSERVAR,Muestra insuficiente (<3)
CRV/USDT,2,1,1,50.0,-0.108288,-0.45477,0.235508,-0.45477,OBSERVAR,Muestra insuficiente (<3)
PAXG/USDT,2,1,1,50.0,-0.117232,-0.481354,0.047243,-0.481354,OBSERVAR,Muestra insuficiente (<3)
NAORIS/USDT,2,1,1,50.0,-0.117449,-0.489463,0.107991,-0.489463,OBSERVAR,Muestra insuficiente (<3)
REZ/USDT,2,1,1,50.0,-0.119956,-0.499514,0.161541,-0.499514,OBSERVAR,Muestra insuficiente (<3)
ENSO/USDT,1,0,1,0.0,-0.120122,-1.001337,0.0,-1.001337,OBSERVAR,Muestra insuficiente (<3)
JCT/USDT,2,1,1,50.0,-0.120545,-0.502291,0.121751,-0.502291,OBSERVAR,Muestra insuficiente (<3)
GUN/USDT,1,0,1,0.0,-0.121055,-1.013212,0.0,-1.013212,OBSERVAR,Muestra insuficiente (<3)
HEMI/USDT,1,0,1,0.0,-0.121542,-1.012995,0.0,-1.012995,OBSERVAR,Muestra insuficiente (<3)
MINA/USDT,1,0,1,0.0,-0.121693,-1.014109,0.0,-1.014109,OBSERVAR,Muestra insuficiente (<3)
XAG/USDT,1,0,1,0.0,-0.121842,-1.011092,0.0,-1.011092,OBSERVAR,Muestra insuficiente (<3)
COMP/USDT,1,0,1,0.0,-0.122706,-1.028035,0.0,-1.028035,OBSERVAR,Muestra insuficiente (<3)
XPIN/USDT,2,1,1,50.0,-0.123011,-0.513533,0.10073,-0.513533,OBSERVAR,Muestra insuficiente (<3)
SUI/USDT,1,0,1,0.0,-0.124483,-1.037114,0.0,-1.037114,OBSERVAR,Muestra insuficiente (<3)
AKE/USDT,1,0,1,0.0,-0.12605,-1.045586,0.0,-1.045586,OBSERVAR,Muestra insuficiente (<3)
AGT/USDT,1,0,1,0.0,-0.12913,-1.075019,0.0,-1.075019,OBSERVAR,Muestra insuficiente (<3)
ILV/USDT,1,0,1,0.0,-0.135379,-1.129947,0.0,-1.129947,OBSERVAR,Muestra insuficiente (<3)
GUA/USDT,1,0,1,0.0,-0.139637,-1.160115,0.0,-1.160115,OBSERVAR,Muestra insuficiente (<3)
0G/USDT,2,0,2,0.0,-0.141594,-0.589311,0.0,-0.589311,OBSERVAR,Muestra insuficiente (<3)
XPL/USDT,2,0,2,0.0,-0.145924,-0.608016,0.0,-0.608016,OBSERVAR,Muestra insuficiente (<3)
ADA/USDT,2,0,2,0.0,-0.154391,-0.645617,0.0,-0.645617,OBSERVAR,Muestra insuficiente (<3)
